X,Y,TVD,DELTA_X,DELTA_Y,DELTA_TVD
517440,2109860,-9,0,0,30
517440,2109860,21,0,0,30
517440,2109860,51,0,0,30
517440,2109860,81,0,0,30
517440,2109860,111,0,0,30
517440,2109860,141,0,0,30
517440,2109860,171,0,0,30
517440,2109860,201,0,0,30
517440,2109860,231,0,0,30
517440,2109860,261,0,0,30
517440,2109860,291,0,0,30
517440,2109860,321,0,0,30
517440,2109860,351,0,0,30
517440,2109860,381,0,0,30
517440,2109860,411,0,0,30
517440,2109860,441,0,0,30
517440,2109860,471,0,0,30
517440,2109860,501,0,0,30
517440,2109860,531,0,0,30
517440,2109860,561,0,0,30
517440,2109860,591,0,0,30
517440,2109860,621,0,0,30
517440,2109860,651,0,0,30
517440,2109860,681,0,0,30
517440,2109860,711,0,0,30
517440,2109860,741,0,0,30
517440,2109860,771,0,0,30
517440,2109860,801,0,0,30
517440,2109860,831,0,0,30
517440,2109860,861,0,0,30
517440,2109860,891,0,0,30
517440,2109860,921,0,0,30
517440,2109860,951,0,0,30
517440,2109860,981,0,0,30
517440,2109860,1011,0,0,30
517440,2109860,1041,0,0,30
517440,2109860,1071,0,0,30
517440,2109860,1101,0,0,30
517440,2109860,1131,0,0,30
517440,2109860,1161,0,0,30
517440,2109860,1191,0,0,30
517440,2109860,1221,0,0,30
517440,2109860,1251,0,0,30
517440,2109860,1281,0,0,30
517440,2109860,1311,0,0,30
517440,2109860,1341,0,0,30
517440,2109860,1371,0,0,30
517440,2109860,1401,0,0,30
517440,2109860,1431,0,0,30
517440,2109860,1461,0,0,30
517440,2109860,1491,0,0,30
517440,2109860,1521,0,0,30
517440,2109860,1551,0,0,30
517440,2109860,1581,0,0,30
517440,2109860,1611,0,0,30
517440,2109860,1641,0,0,30
517440,2109860,1671,0,0,30
517440,2109860,1701,0,0,30
517440,2109860,1731,0,0,30
517440,2109860,1761,0,0,30
517440,2109860,1791,0,0,30
517440,2109860,1821,0,0,30
517440,2109860,1851,0,0,30
517440,2109860,1881,0,0,30
517440,2109860,1911,0,0,30
517440,2109860,1941,0,0,30
517440,2109860,1971,0,0,30
517440,2109860,2001,0,0,30
517440,2109860,2031,0,0,30
