FECHA,PETRÓLEO_AR,GAS ASOC_AR,PETRÓLEO_BA,GAS ASOC_BA,PETRÓLEO_5PR,GAS ASOC_5PR,PETRÓLEO_GIR,GAS ASOC_GIR,PETRÓLEO_JUS,GAS ASOC_JUS,PETRÓLEO_LA,GAS ASOC_LA,PETRÓLEO_BE,GAS ASOC_BE
1985/JUL,2.201,4.382,10.76,11.308,8.874,7.488,39.096,356.903,,,1.731,2.496,,
1985/AGO,2.121,4.382,10.493,11.888,9.123,7.295,37.815,359.903,0.671,5,1.669,2.561,,
1985/SEP,2.069,4.382,10.247,10.173,9.035,7.479,38.058,349.767,0.648,7.999,1.66,2.635,,
1985/OCT,2.027,4.382,9.886,10.495,8.832,7.651,39.517,346.484,0.648,7.16,1.646,2.648,,
1985/NOV,2.746,4.6,9.823,13.476,8.633,7.807,38.134,347.405,0.648,6,1.65,2.83,,
1985/DIC,2.648,4.315,10.011,15.026,8.649,8.006,37.832,345.71,0.648,5.226,1.545,2.701,,
1986/ENE,2.455,3.382,9.998,10.939,8.435,7.852,26.045,251.47,0.648,5,1.45,2.839,,
1986/FEB,2.569,2.475,10.116,11.73,7.877,7.912,34.134,324.035,0.648,5,1.421,2.716,,
1986/MAR,2.648,2.482,10.38,11.996,7.518,7.926,36.247,346.936,0.648,5,1.401,2.952,,
1986/ABR,2.64,2.334,10.621,10.358,7.913,7.905,34.683,332.2,0.648,5,1.561,3.049,,
1986/MAY,2.56,2.334,9.676,8.794,7.723,7.947,30.618,300.581,0.648,5,1.836,2.865,,
1986/JUN,2.497,2.334,9.234,8.368,7.502,10.146,28.759,329,0.648,5,1.921,2.826,,
1986/JUL,2.434,2.334,9.131,8.593,7.141,8.702,32.015,352.451,0.648,5,1.859,2.839,,
1986/AGO,2.388,2.236,9.191,9.405,7.005,8.365,26.639,308.755,0.648,5,1.893,2.829,,
1986/SEP,2.302,2.295,9.156,10.995,6.888,7.761,31.351,360.466,0.648,5.667,1.799,2.835,,
1986/OCT,2.302,2.295,8.707,10.593,5.933,6.507,30.501,323.871,0.648,6.677,1.706,2.822,,
1986/NOV,2.403,2.962,9.482,11.536,6.447,7.051,30.546,317.056,0.648,6.999,1.675,2.839,,
1986/DIC,2.428,3.129,10.196,12.289,6.606,7.365,28.822,315.548,0.648,6.451,1.445,2.839,,
1987/ENE,2.428,3.129,10.237,12.174,6.806,6.951,26.26,318.913,0.648,6,1.349,2.839,,
1987/FEB,2.413,3.129,10.193,12.327,6.991,7.212,25.922,334.516,0.648,6,1.363,2.839,,
1987/MAR,2.396,3.126,10.109,12.527,7.332,7.414,24.823,339.406,0.648,6.355,1.222,2.839,,
1987/ABR,2.396,3.129,10.015,12.104,7.446,7.643,24.407,337.02,0.648,8.668,1.073,2.839,,
1987/MAY,2.485,3.803,9.787,12.321,7.405,7.593,24.576,320.084,0.648,9.324,1.277,2.839,,
1987/JUN,2.401,3.772,9.435,11.755,7.583,7.75,23.726,309.685,0.648,9.434,1.344,2.446,,
1987/JUL,1.995,3.79,9.203,10.685,7.613,7.219,23.973,318.056,0.648,8.321,1.56,3.272,,
1987/AGO,1.909,3.446,9.07,10.809,7.776,7.228,22.28,281.549,0.648,7.999,1.777,3.173,,
1987/SEP,1.956,3.237,8.387,10,7.508,8.079,22.319,263.47,0.648,8.133,1.993,2.787,,
1987/OCT,1.956,3.364,8.263,9.983,7.382,9.616,24.398,278.836,0.648,8.958,2.012,3.473,,
1987/NOV,2.104,3.376,8.167,9.41,7.402,9.61,23.992,283.706,0.648,8.493,2.054,3.01,,
1987/DIC,2.019,3.193,8.07,7.817,7.448,9.504,23.918,281.77,0.648,8.998,2.082,2.978,,
1988/ENE,2.019,3.284,8.009,8.876,7.27,9.862,19.571,278.47,0.648,8.998,2.033,2.761,,
1988/FEB,1.963,2.85,8.205,8.913,7.041,9.191,18.814,280.061,0.648,8.998,1.964,2.655,,
1988/MAR,1.745,2.759,8.22,7.349,7.151,9.318,18.142,272.935,0.648,8.998,1.946,2.803,,
1988/ABR,1.726,2.686,8.151,7.329,7.211,9.116,16.893,270.738,0.648,8.998,1.863,2.669,,
1988/MAY,1.472,2.299,8.077,8.464,7.318,9.105,16.751,275.644,0.648,8.998,1.94,2.853,,
1988/JUN,1.472,2.299,7.872,8.14,7.285,8.899,17.011,282.88,0.627,6.431,2.183,2.953,,
1988/JUL,1.361,2.174,7.608,7.2,7.351,8.43,17.108,272.689,0.606,5.614,2.363,2.925,,
1988/AGO,1.422,2.19,7.094,7.656,7.402,8.106,17.137,276.515,0.648,6.003,2.451,2.524,,
1988/SEP,1.429,2.094,7.163,8.163,7.297,8.191,17.267,272,0.648,6.003,2.356,2.1,,
1988/OCT,0.867,1.465,7.163,9.019,7.373,7.515,17.146,265.712,0.648,6.003,2.286,1.543,,
1988/NOV,1.219,2.064,7.119,8.817,7.306,9.773,16.661,264.575,0.648,6.003,2.532,2.25,,
1988/DIC,1.283,2.162,6.72,8.733,7.393,8.708,16.525,267.883,0.648,6.196,2.523,2.429,,
1989/ENE,1.283,2.151,6.524,8.909,7.074,8.033,16.508,268.14,0.648,6.999,2.444,2.674,,
1989/FEB,1.336,2.151,6.629,9.197,7.393,7.923,16.469,254.332,0.648,7.535,2.354,3.804,,
1989/MAR,1.465,2.151,6.791,9.337,7.521,7.085,16.745,248.372,0.648,7.999,2.459,4.236,,
1989/ABR,1.491,2.151,6.56,9.43,7.725,6.84,16.683,239.419,0.648,7.999,2.439,3.35,,
1989/MAY,1.491,2.151,6.041,11.198,8.036,8.105,16.791,251.611,0.648,7.999,2.461,3.312,,
1989/JUN,1.452,2.042,5.366,11.959,7.779,8.719,15.803,249.208,0.705,7.276,2.497,3.562,,
1989/JUL,1.535,2.649,5.363,12.36,7.464,8.246,15.54,249.918,0.749,6.724,2.453,2.464,,
1989/AGO,1.535,2.649,5.303,8.731,7.505,8.189,15.692,246.759,0.749,6.866,2.282,1.968,,
1989/SEP,1.535,2.649,5.041,8.428,7.73,8.157,15.081,236.446,0.749,6.999,2.228,4.886,,
1989/OCT,1.535,2.649,5.243,7.487,7.687,4.902,15.384,224.516,0.749,6.354,2.466,5.04,,
1989/NOV,1.535,2.649,5.38,7.493,7.771,7.009,15.627,222.605,0.749,6,2.567,4.246,,
1989/DIC,1.535,2.649,5.366,8.02,7.705,8.361,15.575,229.162,0.749,6,2.496,2.485,,
1990/JUN,1.34,1.928,5.515,6.404,7.286,4.49,14.873,219.893,0.749,6,2.478,3.48,,
1990/JUL,1.34,1.928,5.484,5.503,7.371,4.578,14.782,220.109,0.749,6,2.531,3.705,,
1990/AGO,1.34,1.928,5.053,5.032,7.729,4.789,14.791,217.459,0.749,6,2.535,3.875,,
1990/SEP,1.277,1.819,4.761,4.715,7.945,5.11,14.496,206.127,0.749,6,2.531,3.978,,
1990/OCT,1.057,1.433,4.664,4.736,8.543,5.497,14.397,208.177,0.749,6,2.491,4.028,,
1990/NOV,1.057,1.433,4.767,4.794,8.902,6.164,14.637,209.204,0.644,5.4,2.476,4.19,,
1990/DIC,1.072,1.475,4.829,4.919,8.797,6.498,14.205,211.749,0.609,5.219,2.478,3.728,,
1991/ENE,1.189,1.808,4.912,5.008,8.842,6.369,12.87,204.945,0.66,5.562,2.41,3.668,,
1991/FEB,1.505,2.426,4.983,4.203,9.051,6.454,12.39,196.407,0.66,5.562,2.373,3.674,,
1991/MAR,1.431,1.947,4.572,3.983,8.958,6.284,11.424,178.852,0.672,5.656,2.413,3.81,,
1991/ABR,1.352,1.459,4.265,3.932,8.98,6.906,10.901,170.63,0.777,6.526,2.415,3.76,,
1991/MAY,1.372,1.581,4.623,4.089,8.77,8.582,10.05,178.757,0.761,6.357,,3.981,,
1991/JUN,1.481,2.355,4.808,4.305,8.724,10.513,9.369,181.592,0.761,6.357,2.361,3.847,,
1991/JUL,1.433,2.287,4.739,4.159,8.844,9.64,8.424,174.99,0.698,5.88,2.272,3.984,,
